|4425864.910000148
33F8B18F21|2112739.989999972
951CF7DC78|1909675.2499996985
EE5E6511F7|1599516.5399993646
675D3B0071|1508000.119999825
E415A2CE3C|1222688.0100003358
4F40964261|1193723.220000082
B580E681DE|1053193.4100000062
3CD42BDD53|1018379.7999999835
EC7E584D80|1011777.5700000513
FD27BB8095|970040.3399999453
3D367B92F0|966494.4199988843
AED8DA0F93|883014.8900000281
08861060A5|878582.5800000686
CA1CCEBBCC|845802.989999987
5CB5899305|815648.8299998669
0129F49447|813374.8599999784
25561B13AA|777835.710000007
7C487F8C80|730181.6199999999
073BD438FD|730115.999999955
81D966D6EC|719993.2099993639
686C956144|710211.27000005
85EE2F889E|703425.1000000674
C889623278|683505.4599999799
C191751693|657264.219999719
9EA5D8BFBF|616838.0000002178
85E393632A|615978.5499996941
A7BC716F19|609733.9199999118
5BF9FF96DF|600158.7899999976
A3437CAD1F|576267.6299999612
BF4FA3E8D2|571747.2699996696
5BA4C008FB|537607.6600000018
972E1843B1|510202.2600000838
525B4556D1|508848.030001124
BF52A5D610|498596.17000013066
70210CC83B|497716.3400000255
D27E955E66|489479.0799999798
4909F5D336|479940.77000004775
1073F6DF5D|477532.0299999955
0D9900ED89|467793.8999999866
6DF1EC5E22|459942.53999999637
6BD9FFC2F3|457049.53999987396
81C19327AF|454566.14000018063
55595ABC84|453765.9300000321
BE01893443|442398.4499999876
34E32D45CE|441399.31000004587
972B18A95C|439142.0600000038
87E61B8BAF|437695.6599999539
E31E0AF84F|432125.31999998004
A6ACA5708B|431407.17999995535
942FABCE61|428509.16999994067
C22DC3D4FF|427184.3299999117
18BF97A1C0|424963.5199999406
A5447EA3B8|424200.270000003
37F61316CE|424137.4800000024
9494470974|423760.90999998734
91B96C9736|423174.9500003587
DFFB3D8C43|422302.3200000424
A5E0946B7D|415547.3700000427
14537CE2DD|412640.5000001128
1AE61D905A|405246.2400001121
BCF1C66A51|398561.2899999787
12937A2BE5|395351.04999999644
7430FBDC1C|384455.73999987694
222DBD580A|383378.00999998185
E69B12F227|383143.3500004598
C5D35B8575|382255.0900000677
3964945F40|381570.0899999984
012A236FBB|372553.19999999274
A8A6117F83|369309.6600000047
331F558F89|368546.84000000026
746E0B1840|367523.48000005673
B989B8F2A1|366687.75999997265
AD2310A79C|365646.35000002594
CCF7E8D251|365610.70000006165
935AF6C985|365408.98000002385
AEF332A9EA|364848.70000001614
82046E7769|362413.72999999684
277A51688B|362166.910000002
12F078CD70|360967.62000002014
6672F6F341|358750.24999968463
F5580C2C9D|355738.8200001878
894C1FB4AF|352645.2800001209
CCAF8EE07A|350578.98000000045
54C119533D|349572.75999993144
E87AC2ED2F|348502.44999999314
3F179BC272|346463.54999999807
9981200416|344462.3600000059
8B70E0048E|344294.7600000039
A2353C3A64|343891.37000000896
81DDCB51F1|341721.0400000036
7B133B3FE9|340123.7199999668
827CD5593C|339066.6200000297
C3DCA7E1B5|335976.6500000604
D42059FFA7|335574.21000000776
859790EE6C|334179.82999997545
836B0F0F4C|330433.8600000021
D5AC38C674|323977.94999999856
D5F649E350|323394.12999999983
E2A6E2C2A9|323078.7199999866
